SN,Total_Feedback_Given,Total_Configured,Questions,Weightage_1,Weightage_2,Weightage_3,Weightage_4,Weightage_5,Average/_Percentage,Course_Name,Basic_Course,Satisfaction_%
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,77.14285714285715
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,2,2,3,4.14 / 82.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,82.85714285714286
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,2,0,2,2.86 / 57.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,57.14285714285714
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,1,4,1,0,1,2.43 / 48.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,48.57142857142857
15,7,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,74.28571428571429
16,7,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,2,2,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,74.28571428571429
17,7,20,Teachers encourage you to participate in extracurricular activities.,0,0,4,2,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,71.42857142857143
18,7,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,3,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,71.42857142857143
19,7,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,0,2,1,1,2.57 / 51.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,51.42857142857142
20,7,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,74.28571428571429
1,4,24,How much of the syllabus was covered in the class?,0,0,1,1,2,4.25 / 85.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,85.0
2,4,24,How well did the teachers prepare for the classes?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,75.0
3,4,24,How well were the teachers able to communicate?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,75.0
4,4,24,The teachers approach to teaching can best be described as,0,2,0,2,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,60.0
5,4,24,Fairness of the internal evaluation process by the teachers.,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,75.0
6,4,24,Was your performance in assignments discussed with you?,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,80.0
7,4,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,50.0
8,4,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,0,2,0,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,55.00000000000001
9,4,24,The institution provides multiple opportunities to learn and grow.,0,0,2,2,0,3.50 / 70.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,70.0
10,4,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,2,1,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,60.0
11,4,24,Your mentor does a necessary follow-up with an assigned task to you.,1,1,1,0,1,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,55.00000000000001
12,4,24,The teachers illustrate the concepts through examples and applications.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,80.0
13,4,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,50.0
14,4,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,65.0
15,4,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,65.0
16,4,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,2,1,1,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,75.0
17,4,24,Teachers encourage you to participate in extracurricular activities.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,80.0
18,4,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,75.0
19,4,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,0,3,4.50 / 90.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,90.0
20,4,24,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,1,0,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,65.0
1,2,42,How much of the syllabus was covered in the class?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
2,2,42,How well did the teachers prepare for the classes?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
3,2,42,How well were the teachers able to communicate?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
4,2,42,The teachers approach to teaching can best be described as,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,80.0
5,2,42,Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,90.0
6,2,42,Was your performance in assignments discussed with you?,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,90.0
7,2,42,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,80.0
8,2,42,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,90.0
9,2,42,The institution provides multiple opportunities to learn and grow.,0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,70.0
10,2,42,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,90.0
11,2,42,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
12,2,42,The teachers illustrate the concepts through examples and applications.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
13,2,42,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
14,2,42,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,80.0
15,2,42,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,90.0
16,2,42,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
17,2,42,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,90.0
18,2,42,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,100.0
19,2,42,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,70.0
20,2,42,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,90.0
1,3,20,How much of the syllabus was covered in the class?,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,60.0
2,3,20,How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,73.33333333333333
3,3,20,How well were the teachers able to communicate?,0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,66.66666666666666
4,3,20,The teachers approach to teaching can best be described as,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,60.0
5,3,20,Fairness of the internal evaluation process by the teachers.,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,73.33333333333333
6,3,20,Was your performance in assignments discussed with you?,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,53.333333333333336
7,3,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,53.333333333333336
8,3,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,26.666666666666668
9,3,20,The institution provides multiple opportunities to learn and grow.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,53.333333333333336
10,3,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,66.66666666666666
11,3,20,Your mentor does a necessary follow-up with an assigned task to you.,1,0,2,0,0,2.33 / 46.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,46.666666666666664
12,3,20,The teachers illustrate the concepts through examples and applications.,1,2,0,0,0,1.67 / 33.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,33.33333333333333
13,3,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,26.666666666666668
14,3,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,53.333333333333336
15,3,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,53.333333333333336
16,3,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,53.333333333333336
17,3,20,Teachers encourage you to participate in extracurricular activities.,0,0,3,0,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,60.0
18,3,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,60.0
19,3,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,73.33333333333333
20,3,20,The overall quality of the teaching-learning process in your institute is very good.,1,0,2,0,0,2.33 / 46.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,46.666666666666664
1,1,21,How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
2,1,21,How well did the teachers prepare for the classes?,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
3,1,21,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
4,1,21,The teachers approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
5,1,21,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
6,1,21,Was your performance in assignments discussed with you?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
7,1,21,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
8,1,21,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
9,1,21,The institution provides multiple opportunities to learn and grow.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
10,1,21,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
11,1,21,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
12,1,21,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
13,1,21,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
14,1,21,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
15,1,21,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
16,1,21,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
17,1,21,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
18,1,21,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,100.0
19,1,21,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
20,1,21,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,80.0
1,3,24,How much of the syllabus was covered in the class?,0,0,2,0,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,73.33333333333333
2,3,24,How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,73.33333333333333
3,3,24,How well were the teachers able to communicate?,0,0,0,2,1,4.33 / 86.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,86.66666666666667
4,3,24,The teachers approach to teaching can best be described as,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
5,3,24,Fairness of the internal evaluation process by the teachers.,0,1,0,1,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,73.33333333333333
6,3,24,Was your performance in assignments discussed with you?,0,1,1,0,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,66.66666666666666
7,3,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,2,0,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,73.33333333333333
8,3,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,0,0,2,0,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
9,3,24,The institution provides multiple opportunities to learn and grow.,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
10,3,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,0,1,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,66.66666666666666
11,3,24,Your mentor does a necessary follow-up with an assigned task to you.,1,0,0,2,0,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
12,3,24,The teachers illustrate the concepts through examples and applications.,0,2,0,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
13,3,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
14,3,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,0,1,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,73.33333333333333
15,3,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
16,3,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,0,0,1,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,66.66666666666666
17,3,24,Teachers encourage you to participate in extracurricular activities.,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,60.0
18,3,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,1,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,73.33333333333333
19,3,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,1,0,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,66.66666666666666
20,3,24,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,1,1,4.00 / 80.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,80.0
1,14,44,How much of the syllabus was covered in the class?,0,1,3,7,3,3.86 / 77.14,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,77.14285714285715
2,14,44,How well did the teachers prepare for the classes?,1,1,3,7,2,3.57 / 71.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,71.42857142857143
3,14,44,How well were the teachers able to communicate?,1,3,2,5,3,3.43 / 68.57,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,68.57142857142857
4,14,44,The teachers approach to teaching can best be described as,1,4,4,3,2,3.07 / 61.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,61.42857142857143
5,14,44,Fairness of the internal evaluation process by the teachers.,0,0,4,5,5,4.07 / 81.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,81.42857142857143
6,14,44,Was your performance in assignments discussed with you?,1,2,4,4,3,3.43 / 68.57,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,68.57142857142857
7,14,44,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,3,4,2,4,3.36 / 67.14,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,67.14285714285714
8,14,44,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,5,5,3,3.71 / 74.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,74.28571428571429
9,14,44,The institution provides multiple opportunities to learn and grow.,0,1,4,7,2,3.71 / 74.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,74.28571428571429
10,14,44,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,3,4,4,3.64 / 72.86,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,72.85714285714285
11,14,44,Your mentor does a necessary follow-up with an assigned task to you.,1,1,2,7,3,3.71 / 74.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,74.28571428571429
12,14,44,The teachers illustrate the concepts through examples and applications.,1,3,1,4,5,3.64 / 72.86,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,72.85714285714285
13,14,44,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,4,3,1,4,3.07 / 61.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,61.42857142857143
14,14,44,Teachers are able to identify your weaknesses and help you to overcome them.,2,3,1,5,3,3.29 / 65.71,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,65.71428571428571
15,14,44,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,3,5,4,3.79 / 75.71,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,75.71428571428571
16,14,44,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,2,1,5,5,3.79 / 75.71,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,75.71428571428571
17,14,44,Teachers encourage you to participate in extracurricular activities.,0,3,4,4,3,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,70.0
18,14,44,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,2,5,3,4,3.64 / 72.86,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,72.85714285714285
19,14,44,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,4,5,3,2,3.21 / 64.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,64.28571428571429
20,14,44,The overall quality of the teaching-learning process in your institute is very good.,1,2,4,5,2,3.36 / 67.14,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,67.14285714285714
1,7,20,How much of the syllabus was covered in the class?,0,0,1,1,5,4.57 / 91.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,91.42857142857143
2,7,20,How well did the teachers prepare for the classes?,0,0,0,5,2,4.29 / 85.71,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,85.71428571428571
3,7,20,How well were the teachers able to communicate?,0,0,0,2,5,4.71 / 94.29,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,94.28571428571428
4,7,20,The teachers approach to teaching can best be described as,0,0,1,3,3,4.29 / 85.71,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,85.71428571428571
5,7,20,Fairness of the internal evaluation process by the teachers.,0,0,0,1,6,4.86 / 97.14,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,97.14285714285714
6,7,20,Was your performance in assignments discussed with you?,0,0,0,3,4,4.57 / 91.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,91.42857142857143
7,7,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,2,3,2,4.00 / 80.00,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,80.0
8,7,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,6,1,4.14 / 82.86,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,82.85714285714286
9,7,20,The institution provides multiple opportunities to learn and grow.,0,0,4,3,0,3.43 / 68.57,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,68.57142857142857
10,7,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,5,1,4.00 / 80.00,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,80.0
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,2,4,4.43 / 88.57,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,88.57142857142857
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,1,1,5,4.57 / 91.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,91.42857142857143
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,1,1,3,3.71 / 74.29,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,74.28571428571429
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,2,3,2,4.00 / 80.00,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,80.0
